County,PQIDescription,RiskAdjRate_mean,ObsRate_mean,years_count,CtyPQIRate,CtyPhyRate,StPQIRate,StPhyRate,CtyMeanLengthStay,StMeanLengthStay,PQIRateComp,PhySupplyRateComp,z_risk,z_phys,priority_score
STATEWIDE,Heart Failure,364.58,321.84000000000003,5,,,,,,,,,0.6095406747059158,,
STATEWIDE,Hypertension,49.4,43.32,5,,,,,,,,,-0.5756946014936618,,
STATEWIDE,Lower-Extremity Amputation (Diabetes),34.7,32.28,5,,,,,,,,,-0.6309739928260237,,
STATEWIDE,Overall Composite,933.3399999999999,805.9399999999999,5,,,,,,,,,2.748364253902793,,
STATEWIDE,Uncontrolled Diabetes,30.52,26.939999999999998,5,,,,,,,,,-0.6466928945790353,,
STATEWIDE,Urinary Tract Infection,90.32000000000001,76.74,5,,,,,,,,,-0.4218148264378629,,
Sacramento,Acute Composite,155.26,140.7,5,,,,,,,,,-0.17760777384442245,,
Sacramento,Asthma in Younger Adults (Age 18-39),22.72,21.560000000000002,5,24.6,409.4,16.0,351.2,2.2,2.5,High,High,-0.6760248165104926,2.4651369352508636,-3.141161751761356
Sacramento,COPD or Asthma in Older Adults (Age 40+),196.2,179.6,5,210.4,272.7,134.7,232.4,3.9,3.9,High,High,-0.02365278873238897,1.1940878824943115,-1.2177406712267005
Sacramento,Chronic Composite,867.1,814.12,5,,,,,,,,,2.49926854765411,,
Sacramento,Community-Acquired Pneumonia,73.2,67.14,5,81.4,149.5,88.5,133.3,4.3,4.5,Low,High,-0.48619463457459994,0.04856305952717781,-0.5347576941017778
Sacramento,Diabetes Composite,226.5,225.82,5,238.7,166.2,223.4,147.8,5.5,5.6,High,High,0.09029044646288743,0.20384118082223562,-0.11355073435934819
Sacramento,Diabetes Long-term Complications,95.46000000000001,89.26,5,,,,,,,,,-0.40248584198559484,,
Sacramento,Diabetes Short-term Complications,81.14,88.3,5,,,,,,,,,-0.4563362422495011,,
Sacramento,Heart Failure,458.26000000000005,422.56000000000006,5,474.2,185.4,353.7,161.2,5.0,4.9,High,High,0.9618245781083414,0.38236452985607483,0.5794600482522666
Sacramento,Hypertension,51.779999999999994,50.12,5,55.0,186.6,49.0,161.5,2.9,3.0,High,High,-0.5667446048017557,0.3935222391706897,-0.9602668439724453
Sacramento,Lower-Extremity Amputation (Diabetes),42.28,40.760000000000005,5,,,,,,,,,-0.6024693815131459,,
Sacramento,Overall Composite,1025.94,954.86,5,,,,,,,,,3.0965868142685555,,
Sacramento,Uncontrolled Diabetes,25.880000000000003,25.7,5,,,,,,,,,-0.6641416276254407,,
Sacramento,Urinary Tract Infection,81.9,73.58,5,81.4,160.6,84.4,140.1,4.0,3.7,Low,High,-0.45347826011258985,0.15177187068736595,-0.6052501307999558
San Benito,Acute Composite,238.61999999999998,156.42,5,,,,,,,,,0.1358677405409979,,
San Benito,Asthma in Younger Adults (Age 18-39),10.525,7.45,5,14.8,59.7,16.0,351.2,2.0,2.5,Low,Low,-0.7218841482994826,-0.7864055208498403,0.06452137255035773
San Benito,COPD or Asthma in Older Adults (Age 40+),163.88,97.38,5,84.3,39.3,134.7,232.4,2.1,3.9,Low,Low,-0.1451922396073504,-0.9760865791982943,0.8308943395909439
San Benito,Chronic Composite,783.98,519.4,5,,,,,,,,,2.1866955539435033,,
San Benito,Community-Acquired Pneumonia,96.36,60.620000000000005,5,64.5,23.7,88.5,133.3,3.4,4.5,Low,Low,-0.39910138945504214,-1.1211368002882884,0.7220354108332463
San Benito,Diabetes Composite,286.82,194.9,5,205.3,32.8,223.4,147.8,4.7,5.6,Low,Low,0.31712397606615705,-1.036524171319125,1.3536481473852822
San Benito,Diabetes Long-term Complications,139.64000000000001,95.53999999999999,5,,,,,,,,,-0.2363468277635714,,
San Benito,Diabetes Short-term Complications,86.17999999999999,60.160000000000004,5,,,,,,,,,-0.43738330807840564,,
San Benito,Heart Failure,340.74,234.92,5,285.5,38.6,353.7,161.2,4.3,4.9,Low,Low,0.5198902876743848,-0.982595242965153,1.5024855306395377
San Benito,Hypertension,45.720000000000006,27.32,5,25.4,40.6,49.0,161.5,1.8,3.0,Low,Low,-0.589533251840811,-0.9639990607741281,0.37446580893331716
San Benito,Lower-Extremity Amputation (Diabetes),60.660000000000004,39.260000000000005,5,,,,,,,,,-0.533351339833635,,
San Benito,Overall Composite,1022.54,675.8399999999999,5,,,,,,,,,3.083801104708689,,
San Benito,Uncontrolled Diabetes,27.18,17.380000000000003,5,,,,,,,,,-0.6592529739701978,,
San Benito,Urinary Tract Infection,139.35999999999999,95.78,5,86.0,32.5,84.4,140.1,3.0,3.7,High,Low,-0.2373997685508546,-1.0393135986477788,0.8019138300969242
San Bernardino,Acute Composite,232.4,191.9,5,,,,,,,,,0.11247741305206668,,
San Bernardino,Asthma in Younger Adults (Age 18-39),19.64,18.619999999999997,5,24.3,262.5,16.0,351.2,2.5,2.5,High,Low,-0.6876071651706066,1.0992473533200848,-1.7868545184906914
San Bernardino,COPD or Asthma in Older Adults (Age 40+),150.3,132.33999999999997,5,150.2,200.5,134.7,232.4,3.6,3.9,High,Low,-0.1962598677905798,0.5227657053983128,-0.7190255731888926
San Bernardino,Chronic Composite,873.76,784.3399999999999,5,,,,,,,,,2.5243134963802003,,
San Bernardino,Community-Acquired Pneumonia,124.58000000000001,105.54,5,123.8,107.6,88.5,133.3,4.4,4.5,High,Low,-0.29298000010815434,-0.34102695737479394,0.0480469572666396
San Bernardino,Diabetes Composite,274.52,288.98,5,312.0,120.0,223.4,147.8,5.6,5.6,High,Low,0.2708697914819359,-0.22573062779043948,0.4966004192723754
San Bernardino,Diabetes Long-term Complications,130.6,129.34,5,,,,,,,,,-0.27034177318156816,,
San Bernardino,Diabetes Short-term Complications,88.96000000000001,105.34,5,,,,,,,,,-0.42692911026180924,,
San Bernardino,Heart Failure,421.48,349.64,5,380.1,131.7,353.7,161.2,4.4,4.9,High,Low,0.823513284693085,-0.11694296197294392,0.940456246666029
San Bernardino,Hypertension,64.44,62.8,5,80.2,132.7,49.0,161.5,2.8,3.0,High,Low,-0.5191366392053135,-0.10764487087743146,-0.41149176832788203
San Bernardino,Lower-Extremity Amputation (Diabetes),41.839999999999996,42.98,5,,,,,,,,,-0.6041240027503051,,
San Bernardino,Overall Composite,1107.4,976.24,5,,,,,,,,,3.402917373311698,,
San Bernardino,Uncontrolled Diabetes,35.7,34.3,5,,,,,,,,,-0.6272134900142984,,
San Bernardino,Urinary Tract Infection,107.74000000000001,86.36,5,102.1,114.7,84.4,140.1,3.7,3.7,High,Low,-0.35630686745760826,-0.27501051059665543,-0.08129635686095282
San Diego,Acute Composite,181.26,144.02,5,,,,,,,,,-0.07983470073956483,,
San Diego,Asthma in Younger Adults (Age 18-39),17.24,13.24,5,13.3,373.8,16.0,351.2,2.3,2.5,Low,High,-0.6966323719187473,2.1341248922506204,-2.8307572641693675
San Diego,COPD or Asthma in Older Adults (Age 40+),172.3,127.26000000000002,5,131.8,271.5,134.7,232.4,3.6,3.9,Low,High,-0.11352880593262338,1.1829301731796968,-1.2964589791123202
San Diego,Chronic Composite,769.42,600.1600000000001,5,,,,,,,,,2.1319426330047833,,
San Diego,Community-Acquired Pneumonia,81.42,64.32000000000001,5,74.2,151.9,88.5,133.3,4.1,4.5,Low,High,-0.455283301462218,0.07087847815640774,-0.5261617796186258
San Diego,Diabetes Composite,234.7,194.98,5,205.5,165.8,223.4,147.8,5.6,5.6,Low,High,0.12112656951903479,0.20012194438403086,-0.07899537486499607
San Diego,Diabetes Long-term Complications,123.92,99.44,5,,,,,,,,,-0.29546193196389303,,
San Diego,Diabetes Short-term Complications,64.5,58.279999999999994,5,,,,,,,,,-0.5189110090366099,,
San Diego,Heart Failure,368.38,288.7,5,312.1,189.6,353.7,161.2,4.8,4.9,Low,High,0.6238305853904719,0.421416512457227,0.20241407293324487
San Diego,Hypertension,48.42,37.339999999999996,5,41.1,188.7,49.0,161.5,2.8,3.0,Low,High,-0.5793798942491526,0.41304823047126576,-0.9924281247204183
San Diego,Lower-Extremity Amputation (Diabetes),31.3,25.28,5,,,,,,,,,-0.6437597023858896,,
San Diego,Overall Composite,949.78,744.1800000000001,5,,,,,,,,,2.8101869201275567,,
San Diego,Uncontrolled Diabetes,33.7,25.639999999999997,5,,,,,,,,,-0.634734495637749,,
San Diego,Urinary Tract Infection,99.32000000000001,79.72,5,82.5,156.7,84.4,140.1,3.4,3.7,Low,High,-0.3879703011323352,0.11550931541486735,-0.5034796165472025
San Francisco,Acute Composite,118.25999999999999,104.72,5,,,,,,,,,-0.31674637787825827,,
San Francisco,Asthma in Younger Adults (Age 18-39),13.3,11.26,5,17.5,724.8,16.0,351.2,1.6,2.5,High,High,-0.7114487529969449,5.39775486677549,-6.109203619772435
San Francisco,COPD or Asthma in Older Adults (Age 40+),194.78,150.02,5,163.0,519.6,134.7,232.4,4.1,3.9,High,High,-0.02899270272503884,3.489786573976336,-3.5187792767013746
San Francisco,Chronic Composite,702.1800000000001,589.72,5,,,,,,,,,1.8790864239443748,,
San Francisco,Community-Acquired Pneumonia,58.720000000000006,50.8,5,63.8,303.5,88.5,133.3,4.0,4.5,Low,High,-0.5406467152883822,1.4804690882360951,-2.021115803524477
San Francisco,Diabetes Composite,155.9,136.26,5,155.2,355.2,223.4,147.8,6.8,5.6,Low,High,-0.1752010520449182,1.9611803978740887,-2.136381449919007
San Francisco,Diabetes Long-term Complications,66.7,57.2,5,,,,,,,,,-0.5106379028508143,,
