County,PQIDescription,RiskAdjRate_mean,ObsRate_mean,years_count,CtyPQIRate,CtyPhyRate,StPQIRate,StPhyRate,CtyMeanLengthStay,StMeanLengthStay,PQIRateComp,PhySupplyRateComp,z_risk,z_phys,priority_score,quadrant
Orange,Heart Failure,270.43999999999994,224.21999999999997,5,250.6,178.1,353.7,161.2,4.8,4.9,Low,High,0.25552694001009657,0.31448846485883386,-0.05896152484873729,10
Orange,Hypertension,41.339999999999996,29.68,5,32.7,177.6,49.0,161.5,2.8,3.0,Low,High,-0.6060042541561677,0.3098394193110776,-0.9158436734672453,00
Orange,Urinary Tract Infection,82.2,65.6,5,76.7,160.5,84.4,140.1,3.5,3.7,Low,High,-0.45235010926907226,0.15084206157781477,-0.603192170846887,00
Placer,Asthma in Younger Adults (Age 18-39),20.06,11.940000000000001,5,14.3,581.8,16.0,351.2,2.9,2.5,Low,High,-0.686027753989682,4.06812784011721,-4.7541555941068925,00
Placer,COPD or Asthma in Older Adults (Age 40+),142.82,83.14,5,87.3,267.1,134.7,232.4,3.5,3.9,Low,High,-0.22438842882228507,1.1420185723594423,-1.3664070011817273,00
Placer,Community-Acquired Pneumonia,93.03999999999999,70.46000000000001,5,85.4,175.8,88.5,133.3,3.8,4.5,Low,High,-0.4115862587899701,0.29310285533915537,-0.7046891141291255,00
Placer,Diabetes Composite,209.21999999999997,136.32,5,154.9,198.3,223.4,147.8,5.6,5.6,Low,High,0.02530895787627427,0.5023099049881855,-0.4770009471119112,10
Placer,Heart Failure,318.9,269.7,5,299.9,232.2,353.7,161.2,4.8,4.9,Low,High,0.4377609062663044,0.8175151931260574,-0.379754286859753,10
Placer,Hypertension,38.019999999999996,26.78,5,34.9,233.7,49.0,161.5,2.8,3.0,Low,High,-0.6184891234910957,0.8314623297693261,-1.4499514532604219,00
Placer,Urinary Tract Infection,70.72,67.44,5,78.5,195.7,84.4,140.1,3.8,3.7,Low,High,-0.49552068154767864,0.4781348681398529,-0.9736555496875315,00
Plumas,Asthma in Younger Adults (Age 18-39),17.439999999999998,15.419999999999998,5,26.7,427.4,16.0,351.2,2.0,2.5,High,High,-0.6958802713564022,2.6325025749700877,-3.3283828463264897,00
Plumas,COPD or Asthma in Older Adults (Age 40+),169.38,163.82,5,189.4,132.0,134.7,232.4,2.8,3.9,High,Low,-0.12450947414286129,-0.11415353464429008,-0.010355939498571207,01
Plumas,Community-Acquired Pneumonia,141.07999999999998,186.5,5,207.6,100.9,88.5,133.3,2.3,4.5,High,Low,-0.2309317037146871,-0.40332416771472723,0.17239246400004013,01
Plumas,Diabetes Composite,93.46000000000001,111.96,5,113.2,100.9,223.4,147.8,5.5,5.6,Low,Low,-0.41000684760904543,-0.40332416771472723,-0.0066826798943182,01
Plumas,Heart Failure,110.67999999999999,160.72,5,251.6,144.0,353.7,161.2,3.4,4.9,Low,Low,-0.34525098919113595,-0.0025764414981406716,-0.34267454769299527,01
Plumas,Hypertension,8.059999999999999,9.919999999999998,5,6.3,144.0,49.0,161.5,5.0,3.0,Low,Low,-0.7311537877303854,-0.0025764414981406716,-0.7285773462322448,01
Plumas,Urinary Tract Infection,113.42,141.92000000000002,5,213.9,100.9,84.4,140.1,3.0,3.7,High,Low,-0.3349472114870086,-0.40332416771472723,0.06837695622771861,01
Riverside,Asthma in Younger Adults (Age 18-39),17.82,15.98,5,16.4,245.9,16.0,351.2,2.5,2.5,High,Low,-0.6944512802879467,0.9448990411345781,-1.639350321422525,00
Riverside,COPD or Asthma in Older Adults (Age 40+),144.4,115.34,5,122.7,160.8,134.7,232.4,3.5,3.9,Low,Low,-0.21844683437975906,0.1536314889064686,-0.3720783232862277,00
Riverside,Community-Acquired Pneumonia,111.05999999999999,94.34,5,104.0,93.0,88.5,133.3,4.3,4.5,High,Low,-0.3438219981226804,-0.47677908736927566,0.13295708924659527,01
Riverside,Diabetes Composite,257.62,237.38000000000002,5,251.2,103.7,223.4,147.8,5.3,5.6,High,Low,0.20731729396377854,-0.37728951264729244,0.584606806611071,11
Riverside,Heart Failure,383.74,322.18,5,353.2,114.2,353.7,161.2,4.4,4.9,Low,Low,0.6815919085785724,-0.2796595561444117,0.9612514647229842,11
Riverside,Hypertension,57.42,51.36,5,61.1,115.3,49.0,161.5,2.6,3.0,High,Low,-0.545535368943625,-0.26943165593934804,-0.27610371300427694,01
Riverside,Urinary Tract Infection,97.66,81.22,5,88.0,97.8,84.4,140.1,3.7,3.7,High,Low,-0.39421273579979926,-0.4321482501108159,0.03793551431101666,01
Sacramento,Asthma in Younger Adults (Age 18-39),22.72,21.560000000000002,5,24.6,409.4,16.0,351.2,2.2,2.5,High,High,-0.6760248165104926,2.4651369352508636,-3.141161751761356,00
Sacramento,COPD or Asthma in Older Adults (Age 40+),196.2,179.6,5,210.4,272.7,134.7,232.4,3.9,3.9,High,High,-0.02365278873238897,1.1940878824943115,-1.2177406712267005,00
Sacramento,Community-Acquired Pneumonia,73.2,67.14,5,81.4,149.5,88.5,133.3,4.3,4.5,Low,High,-0.48619463457459994,0.04856305952717781,-0.5347576941017778,00
Sacramento,Diabetes Composite,226.5,225.82,5,238.7,166.2,223.4,147.8,5.5,5.6,High,High,0.09029044646288743,0.20384118082223562,-0.11355073435934819,10
Sacramento,Heart Failure,458.26000000000005,422.56000000000006,5,474.2,185.4,353.7,161.2,5.0,4.9,High,High,0.9618245781083414,0.38236452985607483,0.5794600482522666,10
Sacramento,Hypertension,51.779999999999994,50.12,5,55.0,186.6,49.0,161.5,2.9,3.0,High,High,-0.5667446048017557,0.3935222391706897,-0.9602668439724453,00
Sacramento,Urinary Tract Infection,81.9,73.58,5,81.4,160.6,84.4,140.1,4.0,3.7,Low,High,-0.45347826011258985,0.15177187068736595,-0.6052501307999558,00
San Benito,Asthma in Younger Adults (Age 18-39),10.525,7.45,5,14.8,59.7,16.0,351.2,2.0,2.5,Low,Low,-0.7218841482994826,-0.7864055208498403,0.06452137255035773,01
San Benito,COPD or Asthma in Older Adults (Age 40+),163.88,97.38,5,84.3,39.3,134.7,232.4,2.1,3.9,Low,Low,-0.1451922396073504,-0.9760865791982943,0.8308943395909439,01
San Benito,Community-Acquired Pneumonia,96.36,60.620000000000005,5,64.5,23.7,88.5,133.3,3.4,4.5,Low,Low,-0.39910138945504214,-1.1211368002882884,0.7220354108332463,01
San Benito,Diabetes Composite,286.82,194.9,5,205.3,32.8,223.4,147.8,4.7,5.6,Low,Low,0.31712397606615705,-1.036524171319125,1.3536481473852822,11
San Benito,Heart Failure,340.74,234.92,5,285.5,38.6,353.7,161.2,4.3,4.9,Low,Low,0.5198902876743848,-0.982595242965153,1.5024855306395377,11
San Benito,Hypertension,45.720000000000006,27.32,5,25.4,40.6,49.0,161.5,1.8,3.0,Low,Low,-0.589533251840811,-0.9639990607741281,0.37446580893331716,01
San Benito,Urinary Tract Infection,139.35999999999999,95.78,5,86.0,32.5,84.4,140.1,3.0,3.7,High,Low,-0.2373997685508546,-1.0393135986477788,0.8019138300969242,01
San Bernardino,Asthma in Younger Adults (Age 18-39),19.64,18.619999999999997,5,24.3,262.5,16.0,351.2,2.5,2.5,High,Low,-0.6876071651706066,1.0992473533200848,-1.7868545184906914,00
San Bernardino,COPD or Asthma in Older Adults (Age 40+),150.3,132.33999999999997,5,150.2,200.5,134.7,232.4,3.6,3.9,High,Low,-0.1962598677905798,0.5227657053983128,-0.7190255731888926,00
San Bernardino,Community-Acquired Pneumonia,124.58000000000001,105.54,5,123.8,107.6,88.5,133.3,4.4,4.5,High,Low,-0.29298000010815434,-0.34102695737479394,0.0480469572666396,01
San Bernardino,Diabetes Composite,274.52,288.98,5,312.0,120.0,223.4,147.8,5.6,5.6,High,Low,0.2708697914819359,-0.22573062779043948,0.4966004192723754,11
San Bernardino,Heart Failure,421.48,349.64,5,380.1,131.7,353.7,161.2,4.4,4.9,High,Low,0.823513284693085,-0.11694296197294392,0.940456246666029,11
San Bernardino,Hypertension,64.44,62.8,5,80.2,132.7,49.0,161.5,2.8,3.0,High,Low,-0.5191366392053135,-0.10764487087743146,-0.41149176832788203,01
San Bernardino,Urinary Tract Infection,107.74000000000001,86.36,5,102.1,114.7,84.4,140.1,3.7,3.7,High,Low,-0.35630686745760826,-0.27501051059665543,-0.08129635686095282,01
San Diego,Asthma in Younger Adults (Age 18-39),17.24,13.24,5,13.3,373.8,16.0,351.2,2.3,2.5,Low,High,-0.6966323719187473,2.1341248922506204,-2.8307572641693675,00
San Diego,COPD or Asthma in Older Adults (Age 40+),172.3,127.26000000000002,5,131.8,271.5,134.7,232.4,3.6,3.9,Low,High,-0.11352880593262338,1.1829301731796968,-1.2964589791123202,00
San Diego,Community-Acquired Pneumonia,81.42,64.32000000000001,5,74.2,151.9,88.5,133.3,4.1,4.5,Low,High,-0.455283301462218,0.07087847815640774,-0.5261617796186258,00
